ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11270,"MUSTARD GREENS,RAW",90.70,27,2.86,0.42,1.36,4.67,3.2,1.32,115,1.64,32,58,384,20,0.25,0.165,,0.9,70.0,0.080,0.110,0.800,0.210,0.180,12,0,12,12,0.5,0.00,3024,151,0,10,1790,40,0,3730,2.01,0.0,0,257.5,0.010,0.092,0.038,0
11271,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",91.78,26,2.56,0.47,0.69,4.51,2.0,1.41,118,0.87,13,42,162,9,0.22,0.146,,0.6,25.3,0.041,0.063,0.433,0.120,0.098,9,0,9,9,0.4,0.00,12370,618,0,9,7400,35,0,10400,1.78,0.0,0,592.7,0.012,0.110,0.046,0
11272,"MUSTARD GRNS,FRZ,UNPREP",93.21,20,2.49,0.27,0.63,3.41,3.3,,116,1.29,15,30,170,29,0.23,0.067,0.339,0.7,25.3,0.048,0.061,0.314,0.019,0.131,138,0,138,138,,0.00,5155,258,0,,,,,,,0.0,0,,0.014,0.124,0.051,0
11273,"MUSTARD GRNS,FRZ,CKD,BLD,DRND,WO/SALT",93.80,19,2.27,0.25,0.57,3.11,2.8,0.32,101,1.12,13,24,139,25,0.20,0.058,0.294,0.6,13.8,0.040,0.053,0.258,0.016,0.108,70,0,70,70,0.3,0.00,7076,354,0,0,4246,0,0,6672,1.35,0.0,0,335.1,0.013,0.113,0.047,0
11274,"MUSTARD SPINACH,(TENDERGREEN),RAW",92.20,22,2.20,0.30,1.40,3.90,2.8,,210,1.50,11,28,449,21,0.17,0.075,0.407,0.8,130.0,0.068,0.093,0.678,0.178,0.153,159,0,159,159,,0.00,9900,495,0,,,,,,,0.0,0,,0.015,0.138,0.057,0
11275,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,WO/SALT",94.50,16,1.70,0.20,0.80,2.80,2.0,,158,0.80,7,18,285,14,0.11,0.050,0.270,0.6,65.0,0.041,0.062,0.430,0.119,0.097,73,0,73,73,,0.00,8200,410,0,,,,,,,0.0,0,,,,,0
11276,"NEW ZEALAND SPINACH,RAW",94.00,14,1.50,0.20,1.80,2.50,1.5,0.29,58,0.80,39,28,130,130,0.38,0.093,0.639,0.7,30.0,0.040,0.130,0.500,0.312,0.304,15,0,15,15,,0.00,4400,,0,,,,,,1.42,0.0,0,337.0,0.032,0.005,0.084,0
11277,"NEW ZEALAND SPINACH,CKD,BLD,DRND,WO/SALT",94.80,12,1.30,0.17,1.60,2.13,1.4,0.25,48,0.66,32,22,102,107,0.31,0.077,0.526,0.9,16.0,0.030,0.107,0.390,0.256,0.237,8,0,8,8,,0.00,3622,,0,,,,,,1.23,0.0,0,292.0,0.027,0.005,0.071,0
11278,"OKRA,RAW",89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23.0,0.200,0.060,1.000,0.245,0.215,60,0,60,60,12.3,0.00,716,36,0,27,416,0,0,280,0.27,0.0,0,31.3,0.026,0.017,0.027,0
11279,"OKRA,CKD,BLD,DRND,WO/SALT",92.57,22,1.87,0.21,0.84,4.51,2.5,2.40,77,0.28,36,32,135,6,0.43,0.085,0.294,0.4,16.3,0.132,0.055,0.871,0.213,0.187,46,0,46,46,8.7,0.00,283,14,0,0,170,0,0,390,0.27,0.0,0,40.0,0.045,0.028,0.046,0
